Speed,Throttle,Brake,RPM,nGear,DRS,Distance
0.0,21.0,False,9966.274991542858,1,1,0.013588014416658363
0.0,21.0,False,9982.0,1,1,0.0
0.0,21.0,False,9944.593736,1,1,-0.04818426500824677
0.0,21.0,False,9922.718736,1,1,-0.03598222774837615
0.0,21.0,False,9912.0,1,1,0.0
5.7750015999999995,20.42249984,False,8294.999552,1,1,0.43733738038336456
10.0,20.0,False,7112.0,1,1,1.111111111111111
20.5500032,20.879166933333334,False,5634.999552,1,1,2.3900982159878783
22.0,21.0,False,5432.0,1,1,2.5777777777777775
24.887500799999998,41.2125056,False,3984.3995989333334,1,1,4.1696622492217275
25.0,42.0,False,3928.0,1,1,4.2444444444444445
29.2,43.96,False,4332.04,1,1,5.283387346502326
39.7,48.86,False,5342.14,1,1,8.5858445156331
40.0,49.0,False,5371.0,1,1,8.68888888888889
50.4,55.93333333333334,False,6915.4,1,1,13.105399776727783
52.0,57.0,False,7153.0,1,1,13.888888888888891
64.0,61.0,False,8310.0,1,1,17.444444444444443
64.3,61.225,False,8382.525,1,1,17.663857736838427
68.0,64.0,False,9277.0,1,1,20.46666666666667
70.7625,64.975,False,9504.5,1,1,21.563475236683765
80.2718784,68.3312512,False,10287.62528,1,1,25.80582440103224
85.0,70.0,False,10677.0,1,1,28.02222222222222
88.06666666666666,69.23333333333333,False,10569.666666666666,1,1,30.344724594833885
93.0,68.0,False,10397.0,1,1,34.22222222222222
98.14643108571428,74.08214582857143,False,10077.453415314285,1,1,37.90832539948918
104.0,81.0,False,9714.0,2,1,42.3111111111111
104.32143268571429,81.46429165714285,False,9745.2504,2,1,42.61103316697603
110.13928777142857,89.86786011428572,False,10310.8752,2,1,48.15945810001883
113.0,94.0,False,10589.0,2,1,51.1
121.90625333333334,95.78125066666666,False,10718.675048533334,2,1,57.2851547308344
136.48958666666667,98.69791733333334,False,10931.008381866666,2,1,68.35546405955964
138.0,99.0,False,10953.0,3,1,69.49999999999999
143.0,99.0,False,11195.0,3,1,75.85555555555555
148.21943769892158,99.0,False,11283.730440881667,3,1,80.51411172128368
158.0,99.0,False,11450.0,3,1,89.8561111111111
165.95357531428573,99.0,False,11258.646335085714,3,1,96.10520334293818
175.0,99.0,False,11041.0,4,1,103.46722222222223
179.45771286215734,99.0,False,11270.014998293333,4,1,109.11130902555401
183.0,99.0,False,11452.0,4,1,113.6847222222222
190.0,99.0,False,11655.0,4,1,122.12916666666666
190.7750016,99.0,False,11621.6749312,4,1,123.79089067078465
196.2750016,99.0,False,11385.1749312,4,1,135.82508577315807
197.0,99.0,False,11354.0,4,1,137.45138888888889
201.3666688,99.0,False,11269.213847466666,4,1,144.92333069358097
209.0,99.0,False,11121.0,5,1,158.3513888888889
209.7750016,99.0,False,11153.679234133333,5,1,160.18705117077485
215.0,99.0,False,11374.0,5,1,172.68472222222218
215.375,99.0,False,11397.475,5,1,173.41056746004102
220.0,99.0,False,11687.0,5,1,182.46249999999998
220.31428754285713,99.0,False,11686.096423314286,5,1,183.14568149537408
228.0,99.0,False,11664.0,5,1,200.19583333333333
228.0687504,99.0,False,11615.87472,5,1,200.8946664717726
229.0,99.0,False,10964.0,5,1,210.3736111111111
233.093752,99.0,False,10810.8936752,5,1,218.87142013634661
234.0,99.0,False,10777.0,6,1,220.7736111111111
238.6156264,97.0218744,False,10989.3188144,6,1,234.82236402049895
241.0,96.0,False,11099.0,6,1,242.1958333333333
244.2750016,86.82999552,False,11182.84004096,6,1,251.14213451962237
246.0,82.0,False,11227.0,6,1,255.86249999999998
245.64,76.6,False,11156.08,6,1,260.78031153947967
245.0,67.0,True,11030.0,6,1,269.4736111111111
244.08928457142858,63.90356754285714,True,11020.528559542858,6,1,272.9040469542565
240.0,50.0,True,10978.0,6,1,288.1402777777778
239.9541664,50.0,True,10972.958304,6,1,288.87071389879736
239.0,50.0,False,10868.0,6,1,304.07361111111106
239.0,55.54688,False,10879.5375104,6,1,308.7833247465903
239.0,74.29688,False,10918.5375104,6,1,324.7183327362988
