year,round,raceId,driverId,constructorId,circuitId,grid,qualifying_position,podium
2010,1,337,4,6,3,3.0,3.0,1
2010,1,337,13,6,3,2.0,2.0,1
2010,1,337,1,1,3,4.0,4.0,1
2010,1,337,20,9,3,1.0,1.0,0
2010,1,337,3,131,3,5.0,5.0,0
2010,1,337,30,131,3,7.0,7.0,0
2010,1,337,18,1,3,8.0,8.0,0
2010,1,337,17,9,3,6.0,6.0,0
2010,1,337,24,10,3,12.0,12.0,0
2010,1,337,22,3,3,11.0,11.0,0
2010,1,337,9,4,3,9.0,9.0,0
2010,1,337,16,10,3,10.0,10.0,0
2010,1,337,153,5,3,18.0,18.0,0
2010,1,337,807,3,3,13.0,13.0,0
2010,1,337,5,205,3,21.0,21.0,0
2010,1,337,67,5,3,15.0,15.0,0
2010,1,337,15,205,3,20.0,20.0,0
2010,1,337,37,15,3,14.0,14.0,0
2010,1,337,811,164,3,23.0,23.0,0
2010,1,337,10,166,3,19.0,19.0,0
2010,1,337,808,4,3,17.0,17.0,0
2010,1,337,155,15,3,16.0,16.0,0
2010,1,337,810,166,3,22.0,22.0,0
2010,1,337,812,164,3,24.0,24.0,0
2010,2,338,18,1,1,4.0,4.0,1
2010,2,338,9,4,1,9.0,9.0,1
2010,2,338,13,6,1,5.0,5.0,1
2010,2,338,4,6,1,3.0,3.0,0
2010,2,338,3,131,1,6.0,6.0,0
2010,2,338,1,1,1,11.0,11.0,0
2010,2,338,24,10,1,13.0,13.0,0
2010,2,338,22,3,1,8.0,8.0,0
2010,2,338,17,9,1,2.0,2.0,0
2010,2,338,30,131,1,7.0,7.0,0
2010,2,338,153,5,1,17.0,17.0,0
2010,2,338,37,15,1,14.0,14.0,0
2010,2,338,5,205,1,19.0,19.0,0
2010,2,338,812,164,1,22.0,24.0,0
2010,2,338,10,166,1,23.0,21.0,0
2010,2,338,810,166,1,24.0,22.0,0
2010,2,338,20,9,1,1.0,1.0,0
2010,2,338,16,10,1,10.0,10.0,0
2010,2,338,808,4,1,18.0,18.0,0
2010,2,338,811,164,1,21.0,23.0,0
2010,2,338,67,5,1,12.0,12.0,0
2010,2,338,807,3,1,15.0,15.0,0
2010,2,338,155,15,1,16.0,16.0,0
2010,2,338,15,205,1,20.0,20.0,0
2010,3,339,20,9,2,3.0,3.0,1
2010,3,339,17,9,2,1.0,1.0,1
2010,3,339,3,131,2,2.0,2.0,1
2010,3,339,9,4,2,6.0,6.0,0
2010,3,339,16,10,2,4.0,4.0,0
2010,3,339,1,1,2,20.0,20.0,0
2010,3,339,13,6,2,21.0,21.0,0
2010,3,339,18,1,2,17.0,17.0,0
2010,3,339,153,5,2,14.0,14.0,0
2010,3,339,807,3,2,5.0,5.0,0
2010,3,339,67,5,2,13.0,13.0,0
2010,3,339,22,3,2,7.0,7.0,0
2010,3,339,4,6,2,19.0,19.0,0
2010,3,339,810,166,2,24.0,24.0,0
2010,3,339,812,164,2,22.0,22.0,0
2010,3,339,811,164,2,23.0,23.0,0
2010,3,339,15,205,2,18.0,18.0,0
2010,3,339,5,205,2,15.0,15.0,0
2010,3,339,808,4,2,11.0,11.0,0
2010,3,339,24,10,2,10.0,10.0,0
2010,3,339,30,131,2,8.0,8.0,0
2010,3,339,155,15,2,9.0,9.0,0
2010,3,339,10,166,2,16.0,16.0,0
2010,3,339,37,15,2,12.0,12.0,0
2010,4,340,18,1,17,5.0,5.0,1
2010,4,340,1,1,17,6.0,6.0,1
2010,4,340,3,131,17,4.0,4.0,1
2010,4,340,4,6,17,3.0,3.0,0
2010,4,340,9,4,17,8.0,8.0,0
2010,4,340,20,9,17,1.0,1.0,0
2010,4,340,808,4,17,14.0,14.0,0
2010,4,340,17,9,17,2.0,2.0,0
2010,4,340,13,6,17,7.0,7.0,0
2010,4,340,30,131,17,9.0,9.0,0
2010,4,340,16,10,17,10.0,10.0,0
2010,4,340,22,3,17,11.0,11.0,0
2010,4,340,153,5,17,12.0,12.0,0
2010,4,340,5,205,17,21.0,21.0,0
2010,4,340,807,3,17,16.0,16.0,0
2010,4,340,811,164,17,23.0,23.0,0
2010,4,340,812,164,17,24.0,24.0,0
2010,4,340,15,205,17,20.0,20.0,0
2010,4,340,810,166,17,22.0,22.0,0
2010,4,340,37,15,17,17.0,17.0,0
2010,4,340,67,5,17,13.0,13.0,0
2010,4,340,155,15,17,15.0,15.0,0
2010,4,340,24,10,17,18.0,18.0,0
2010,4,340,10,166,17,19.0,19.0,0
2010,5,341,17,9,4,1.0,1.0,1
2010,5,341,4,6,4,4.0,4.0,1
2010,5,341,20,9,4,2.0,2.0,1
2010,5,341,30,131,4,6.0,6.0,0
2010,5,341,18,1,4,5.0,5.0,0
2010,5,341,13,6,4,9.0,9.0,0
2010,5,341,16,10,4,11.0,11.0,0
2010,5,341,9,4,4,7.0,7.0,0
2010,5,341,22,3,4,17.0,18.0,0
2010,5,341,153,5,4,15.0,16.0,0
2010,5,341,808,4,4,19.0,14.0,0
2010,5,341,155,15,4,10.0,10.0,0
2010,5,341,3,131,4,8.0,8.0,0
2010,5,341,1,1,4,3.0,3.0,0
2010,5,341,24,10,4,16.0,17.0,0
2010,5,341,807,3,4,13.0,13.0,0
2010,5,341,15,205,4,18.0,19.0,0
2010,5,341,10,166,4,22.0,21.0,0
2010,5,341,810,166,4,23.0,22.0,0
2010,5,341,67,5,4,14.0,15.0,0
2010,5,341,812,164,4,24.0,23.0,0
2010,5,341,37,15,4,12.0,12.0,0
2010,5,341,811,164,4,21.0,24.0,0
2010,5,341,5,205,4,20.0,20.0,0
2010,6,342,17,9,6,1.0,1.0,1
2010,6,342,20,9,6,3.0,3.0,1
2010,6,342,9,4,6,2.0,2.0,1
2010,6,342,13,6,6,4.0,4.0,0
2010,6,342,1,1,6,5.0,5.0,0
2010,6,342,4,6,6,24.0,24.0,0
2010,6,342,3,131,6,6.0,6.0,0
2010,6,342,16,10,6,12.0,12.0,0
2010,6,342,24,10,6,10.0,10.0,0
2010,6,342,67,5,6,13.0,13.0,0
2010,6,342,153,5,6,17.0,17.0,0
2010,6,342,30,131,6,7.0,7.0,0
2010,6,342,808,4,6,14.0,14.0,0
2010,6,342,812,164,6,23.0,23.0,0
2010,6,342,15,205,6,19.0,19.0,0
2010,6,342,5,205,6,18.0,18.0,0
2010,6,342,811,164,6,22.0,22.0,0
2010,6,342,22,3,6,9.0,9.0,0
2010,6,342,155,15,6,16.0,16.0,0
2010,6,342,810,166,6,21.0,21.0,0
2010,6,342,10,166,6,20.0,20.0,0
2010,6,342,37,15,6,15.0,15.0,0
2010,6,342,18,1,6,8.0,8.0,0
2010,6,342,807,3,6,11.0,11.0,0
2010,7,343,1,1,5,2.0,2.0,1
2010,7,343,18,1,5,4.0,4.0,1
2010,7,343,17,9,5,1.0,1.0,1
