year,round,driverId,constructorId,circuitId,laps,points,positionOrder,podium,race_performance,finishing_efficiency,strategy_success
2010,1,4,6,3,49,25.0,1,1,0.5102040816326531,1.0,1
2010,1,13,6,3,49,18.0,2,1,0.3673469387755102,0.5,1
2010,1,1,1,3,49,15.0,3,1,0.30612244897959184,0.3333333333333333,1
2010,1,20,9,3,49,12.0,4,0,0.24489795918367346,0.25,0
2010,1,3,131,3,49,10.0,5,0,0.20408163265306123,0.2,0
2010,1,30,131,3,49,8.0,6,0,0.16326530612244897,0.16666666666666666,0
2010,1,18,1,3,49,6.0,7,0,0.12244897959183673,0.14285714285714285,0
2010,1,17,9,3,49,4.0,8,0,0.08163265306122448,0.125,0
2010,1,24,10,3,49,2.0,9,0,0.04081632653061224,0.1111111111111111,0
2010,1,22,3,3,49,1.0,10,0,0.02040816326530612,0.1,0
2010,1,9,4,3,49,0.0,11,0,0.0,0.09090909090909091,0
2010,1,16,10,3,49,0.0,12,0,0.0,0.08333333333333333,0
2010,1,153,5,3,49,0.0,13,0,0.0,0.07692307692307693,0
2010,1,807,3,3,48,0.0,14,0,0.0,0.07142857142857142,0
2010,1,5,205,3,47,0.0,15,0,0.0,0.06666666666666667,0
2010,1,67,5,3,46,0.0,16,0,0.0,0.0625,0
2010,1,15,205,3,46,0.0,17,0,0.0,0.058823529411764705,0
2010,1,37,15,3,28,0.0,18,0,0.0,0.05555555555555555,0
2010,1,811,164,3,17,0.0,19,0,0.0,0.05263157894736842,0
2010,1,10,166,3,16,0.0,20,0,0.0,0.05,0
2010,1,808,4,3,13,0.0,21,0,0.0,0.047619047619047616,0
2010,1,155,15,3,11,0.0,22,0,0.0,0.045454545454545456,0
2010,1,810,166,3,2,0.0,23,0,0.0,0.043478260869565216,0
2010,1,812,164,3,1,0.0,24,0,0.0,0.041666666666666664,0
2010,2,18,1,1,58,25.0,1,1,0.43103448275862066,1.0,1
2010,2,9,4,1,58,18.0,2,1,0.3103448275862069,0.5,1
2010,2,13,6,1,58,15.0,3,1,0.25862068965517243,0.3333333333333333,1
2010,2,4,6,1,58,12.0,4,0,0.20689655172413793,0.25,0
2010,2,3,131,1,58,10.0,5,0,0.1724137931034483,0.2,0
2010,2,1,1,1,58,8.0,6,0,0.13793103448275862,0.16666666666666666,0
2010,2,24,10,1,58,6.0,7,0,0.10344827586206896,0.14285714285714285,0
2010,2,22,3,1,58,4.0,8,0,0.06896551724137931,0.125,0
2010,2,17,9,1,58,2.0,9,0,0.034482758620689655,0.1111111111111111,0
2010,2,30,131,1,58,1.0,10,0,0.017241379310344827,0.1,0
2010,2,153,5,1,58,0.0,11,0,0.0,0.09090909090909091,0
2010,2,37,15,1,58,0.0,12,0,0.0,0.08333333333333333,0
2010,2,5,205,1,56,0.0,13,0,0.0,0.07692307692307693,0
2010,2,812,164,1,53,0.0,14,0,0.0,0.07142857142857142,0
2010,2,10,166,1,41,0.0,15,0,0.0,0.06666666666666667,0
2010,2,810,166,1,26,0.0,16,0,0.0,0.0625,0
2010,2,20,9,1,25,0.0,17,0,0.0,0.058823529411764705,0
2010,2,16,10,1,9,0.0,18,0,0.0,0.05555555555555555,0
2010,2,808,4,1,9,0.0,19,0,0.0,0.05263157894736842,0
2010,2,811,164,1,4,0.0,20,0,0.0,0.05,0
2010,2,67,5,1,0,0.0,21,0,,0.047619047619047616,0
2010,2,807,3,1,0,0.0,22,0,,0.045454545454545456,0
2010,2,155,15,1,0,0.0,23,0,,0.043478260869565216,0
2010,2,15,205,1,0,0.0,24,0,,0.041666666666666664,0
2010,3,20,9,2,56,25.0,1,1,0.44642857142857145,1.0,1
2010,3,17,9,2,56,18.0,2,1,0.32142857142857145,0.5,1
2010,3,3,131,2,56,15.0,3,1,0.26785714285714285,0.3333333333333333,1
2010,3,9,4,2,56,12.0,4,0,0.21428571428571427,0.25,0
2010,3,16,10,2,56,10.0,5,0,0.17857142857142858,0.2,0
2010,3,1,1,2,56,8.0,6,0,0.14285714285714285,0.16666666666666666,0
2010,3,13,6,2,56,6.0,7,0,0.10714285714285714,0.14285714285714285,0
2010,3,18,1,2,56,4.0,8,0,0.07142857142857142,0.125,0
2010,3,153,5,2,56,2.0,9,0,0.03571428571428571,0.1111111111111111,0
2010,3,807,3,2,56,1.0,10,0,0.017857142857142856,0.1,0
2010,3,67,5,2,56,0.0,11,0,0.0,0.09090909090909091,0
2010,3,22,3,2,55,0.0,12,0,0.0,0.08333333333333333,0
2010,3,4,6,2,54,0.0,13,0,0.0,0.07692307692307693,0
2010,3,810,166,2,53,0.0,14,0,0.0,0.07142857142857142,0
2010,3,812,164,2,53,0.0,15,0,0.0,0.06666666666666667,0
2010,3,811,164,2,52,0.0,16,0,0.0,0.0625,0
2010,3,15,205,2,51,0.0,17,0,0.0,0.058823529411764705,0
2010,3,5,205,2,46,0.0,18,0,0.0,0.05555555555555555,0
2010,3,808,4,2,32,0.0,19,0,0.0,0.05263157894736842,0
2010,3,24,10,2,12,0.0,20,0,0.0,0.05,0
2010,3,30,131,2,9,0.0,21,0,0.0,0.047619047619047616,0
2010,3,155,15,2,8,0.0,22,0,0.0,0.045454545454545456,0
2010,3,10,166,2,2,0.0,23,0,0.0,0.043478260869565216,0
2010,3,37,15,2,0,0.0,24,0,,0.041666666666666664,0
2010,4,18,1,17,56,25.0,1,1,0.44642857142857145,1.0,1
2010,4,1,1,17,56,18.0,2,1,0.32142857142857145,0.5,1
2010,4,3,131,17,56,15.0,3,1,0.26785714285714285,0.3333333333333333,1
2010,4,4,6,17,56,12.0,4,0,0.21428571428571427,0.25,0
2010,4,9,4,17,56,10.0,5,0,0.17857142857142858,0.2,0
2010,4,20,9,17,56,8.0,6,0,0.14285714285714285,0.16666666666666666,0
2010,4,808,4,17,56,6.0,7,0,0.10714285714285714,0.14285714285714285,0
2010,4,17,9,17,56,4.0,8,0,0.07142857142857142,0.125,0
2010,4,13,6,17,56,2.0,9,0,0.03571428571428571,0.1111111111111111,0
2010,4,30,131,17,56,1.0,10,0,0.017857142857142856,0.1,0
2010,4,16,10,17,56,0.0,11,0,0.0,0.09090909090909091,0
2010,4,22,3,17,56,0.0,12,0,0.0,0.08333333333333333,0
2010,4,153,5,17,56,0.0,13,0,0.0,0.07692307692307693,0
2010,4,5,205,17,55,0.0,14,0,0.0,0.07142857142857142,0
2010,4,807,3,17,55,0.0,15,0,0.0,0.06666666666666667,0
2010,4,811,164,17,54,0.0,16,0,0.0,0.0625,0
2010,4,812,164,17,52,0.0,17,0,0.0,0.058823529411764705,0
2010,4,15,205,17,26,0.0,18,0,0.0,0.05555555555555555,0
2010,4,810,166,17,8,0.0,19,0,0.0,0.05263157894736842,0
2010,4,37,15,17,7,0.0,20,0,0.0,0.05,0
2010,4,67,5,17,0,0.0,21,0,,0.047619047619047616,0
2010,4,155,15,17,0,0.0,22,0,,0.045454545454545456,0
2010,4,24,10,17,0,0.0,23,0,,0.043478260869565216,0
2010,4,10,166,17,0,0.0,24,0,,0.041666666666666664,0
2010,5,17,9,4,66,25.0,1,1,0.3787878787878788,1.0,1
2010,5,4,6,4,66,18.0,2,1,0.2727272727272727,0.5,1
2010,5,20,9,4,66,15.0,3,1,0.22727272727272727,0.3333333333333333,1
2010,5,30,131,4,66,12.0,4,0,0.18181818181818182,0.25,0
2010,5,18,1,4,66,10.0,5,0,0.15151515151515152,0.2,0
2010,5,13,6,4,66,8.0,6,0,0.12121212121212122,0.16666666666666666,0
2010,5,16,10,4,66,6.0,7,0,0.09090909090909091,0.14285714285714285,0
2010,5,9,4,4,66,4.0,8,0,0.06060606060606061,0.125,0
2010,5,22,3,4,65,2.0,9,0,0.03076923076923077,0.1111111111111111,0
2010,5,153,5,4,65,1.0,10,0,0.015384615384615385,0.1,0
2010,5,808,4,4,65,0.0,11,0,0.0,0.09090909090909091,0
2010,5,155,15,4,65,0.0,12,0,0.0,0.08333333333333333,0
2010,5,3,131,4,65,0.0,13,0,0.0,0.07692307692307693,0
2010,5,1,1,4,64,0.0,14,0,0.0,0.07142857142857142,0
2010,5,24,10,4,64,0.0,15,0,0.0,0.06666666666666667,0
2010,5,807,3,4,64,0.0,16,0,0.0,0.0625,0
2010,5,15,205,4,63,0.0,17,0,0.0,0.058823529411764705,0
2010,5,10,166,4,63,0.0,18,0,0.0,0.05555555555555555,0
2010,5,810,166,4,62,0.0,19,0,0.0,0.05263157894736842,0
2010,5,67,5,4,42,0.0,20,0,0.0,0.05,0
2010,5,812,164,4,27,0.0,21,0,0.0,0.047619047619047616,0
2010,5,37,15,4,18,0.0,22,0,0.0,0.045454545454545456,0
2010,5,811,164,4,0,0.0,23,0,,0.043478260869565216,0
2010,5,5,205,4,0,0.0,24,0,,0.041666666666666664,0
2010,6,17,9,6,78,25.0,1,1,0.32051282051282054,1.0,1
2010,6,20,9,6,78,18.0,2,1,0.23076923076923078,0.5,1
2010,6,9,4,6,78,15.0,3,1,0.19230769230769232,0.3333333333333333,1
2010,6,13,6,6,78,12.0,4,0,0.15384615384615385,0.25,0
2010,6,1,1,6,78,10.0,5,0,0.1282051282051282,0.2,0
2010,6,4,6,6,78,8.0,6,0,0.10256410256410256,0.16666666666666666,0
2010,6,3,131,6,78,6.0,7,0,0.07692307692307693,0.14285714285714285,0
2010,6,16,10,6,78,4.0,8,0,0.05128205128205128,0.125,0
2010,6,24,10,6,78,2.0,9,0,0.02564102564102564,0.1111111111111111,0
2010,6,67,5,6,78,1.0,10,0,0.01282051282051282,0.1,0
2010,6,153,5,6,78,0.0,11,0,0.0,0.09090909090909091,0
2010,6,30,131,6,78,0.0,12,0,0.0,0.08333333333333333,0
2010,6,808,4,6,73,0.0,13,0,0.0,0.07692307692307693,0
2010,6,812,164,6,70,0.0,14,0,0.0,0.07142857142857142,0
2010,6,15,205,6,70,0.0,15,0,0.0,0.06666666666666667,0
2010,6,5,205,6,58,0.0,16,0,0.0,0.0625,0
